"{""specification_name"":""AI Controls Matrix"",""specification_version"":""1.0.3""}",AI CONTROLS MATRIX v1.0.3,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Change Control and Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and 
maintain policies and procedures for managing the risks 
associated with applying changes to assets owned, controlled or 
used by the organization. Review and update the policies and 
procedures at least annually, or upon significant changes.","C4 PC-02
C5 DEV-01
DEV-02
DEV-03",No Gap,,Article 17,Partial Gap,The EU AI Act does not cover CCC-01 topic for General-Purpose AI Models or General Purpose AI Models with Systemic Risks.,"42001: A.6.2.3 Documentation of AI system
design and development
42001: Clause 6.3 Planning changes
42001: Clause 8.1 Operational planning and
control
42001: B.6 AI system life cycle
42001: B.6.1.3 Processes for responsible
design and development of AI systems
42001: B.6.2.7 AI system technical
documentation
42001: A.6.2.6 AI system operation and
monitoring
27001: A.5.1 Policies for information
security
27001: A.8.32 Change management",No Gap,,No Mapping,Full Gap,"The entire requirement to “establish, document, approve, communicate, apply, evaluate, and maintain policies and procedures for change management” is missing in NIST AI 600-1."
Change Control and Configuration Management,Quality Testing,CCC-02,"Establish, maintain and implement a defined quality change 
control, approval and testing process incorporating baselines, 
testing, and release standards.","C4 PF-06
C5 DEV-03
DEV-05
DEV-06
DEV-07
DEV-08
DEV-09
DEV-10",No Gap,,Article 17,Partial Gap,The EU AI Act does not cover CCC-02 topic for General-Purpose AI Models or General Purpose AI Models with Systemic Risks.,"42001: A.6.2.4 - AI system verification and validation
42001: A.6.2.3 - Documentation of AI system design and development
42001: A.6.2.7 - AI system technical documentation
42001: A.6.2.5 - AI system deployment
42001: B.6.1.3 - Processes for responsible design and development of AI systems",No Gap,,"GV-1.3-002
MP-2.3-005
MS-2.3-003
MG-3.2-002
MS-2.7-008
MP-2.3-001
GV-1.5-003
GV-1.3-003
MP-2.1-002",Partial Gap,"The clear requirement to “have and follow a defined quality change control, approval, and testing process with established baselines, testing, and release standards” is missing in NIST AI 600-1."
Change Control and Configuration Management,Change Management Technology,CCC-03,"Implement a change management procedure to manage the risks associated with applying changes to assets owned, controlled or used by the organization.",DEV-05,Partial Gap,"No C4 control maps to CCC-03 for change management, nor specifically mentions using ""technology-driven"".",Article 17,Partial Gap,The EU AI Act does not cover CCC-03 topic for General-Purpose AI Models or General Purpose AI Models with Systemic Risks.,"42001: Clause 6.3 Planning of changes
42001: Clause 8.1 Operational planning and control
42001: A.10.2 Allocating responsibilities",Partial Gap,"ISO 42001 does not specifically mention the CCC-03 topic of ""technology-driven"", but does support using tooling resources.","GV-6.1-005
GV-6.1-008
MG-4.1-006
GV-1.1-001
MS-2.7-001",Partial Gap,"Formal change management procedure,
Operational controls such as approvals, impact analysis, rollback, and documentation,
Extend to cloud infrastructure or general IT assets."
Change Control and Configuration Management,Change Authorization,CCC-04,"Implement and enforce a procedure to authorize addition, removal, update, and management of assets, owned, controlled or used by the organization.","DEV-07
DEV-09
DEV-10
AM-03
AM-04",No Gap,,No Mapping,Full Gap,"The EU AI Act does not cover the CCC-04 topic, ""Implement and enforce a procedure to prevent unauthorized addition, removal, update, and management of assets, owned, controlled, or used by the organization,"" for any of the AI structures defined within the EU AI Act.","42001: Clause 8.1 Operational planning and control
42001: A.10.2 Allocating responsibilities
27001: A.5.15 Access control
27001: A.7.2 Physical entry
27001: A.8.9 Configuration management
27001: A.8.19 Installation of software on operational systems
27001: A.8.20 Networks security
27001: A.8.32 Change management",No Gap,,"MS-2.7-001
MS-2.7-009
GV-6.1-005
GV-6.1-007",Partial Gap,"The requirement of ""restricting the unauthorized addition, removal, update, and management of changes"" is missing in NIST AI 600-1."
Change Control and Configuration Management,Change Agreements,CCC-05,"Include provisions limiting changes directly impacting customer owned
environments/tenants to explicitly authorized requests within 
service level agreements.","DEV-03
DEV-09",No Gap,,No Mapping,Full Gap,"The EU AI Act does not cover the CCC-05 topic, ""Include provisions limiting changes directly impacting customer-owned environments/tenants to explicitly authorized requests within service level agreements,"" for any of the AI structures defined within the EU AI Act.","42001: Clause 8.1 Operational planning and control
42001: A.10.2 Allocating responsibilities
42001: A.10.4 Customers",Partial Gap,"However, ISO 42001 does not specifically mention CCC-05 topic of ""explicitly authorized requests within service level agreements"" of changes. No mapping to ISO 27001 for CCC-05.",GV-6.1-004,Partial Gap,NIST AI 600-1 is insufficient to explicitly require that SLAs include provisions restricting changes directly impacting AI Customer-owned environments or tenants to those that have been explicitly authorized.
Change Control and Configuration Management,Change Management Baseline,CCC-06,Establish change management baselines for all relevant authorized changes on organization assets. Review and update the change management baseline at least annually or upon significant changes.,DEV-03,No Gap,,No Mapping,Full Gap,"The EU AI Act does not cover the CCC-06 topic, ""Establish change management baselines for all relevant authorized changes on organization assets,"" nor times of review for any of the AI structures defined within the EU AI Act.","42001: Clause 6.3 Planning of changes
42001: Clause 8.1 Operational planning and control
42001: A.6.2.2 AI system requirements and specification
42001: 6.2.3 – Risk treatment
42001: 6.2.6 – Operation & monitoring
27001: A.8.32 Change management
27001: A.8.9 Configuration Management",Partial Gap,"Make the baseline concept explicit.
Require periodic review.
Extend/clarify scope to all organizational assets.","MS-2.9-002
MG-3.2-002
GV-1.6-001
GV-1.6-002
GV-6.1-008
MP-2.1-001
GV-6.1-008
MG-2.2-002
MG-3.2-003
GV-1.3-002
MS-2.8-003
GV-1.6-001",Partial Gap,"The entire requirement to ""establish change management baselines"" is missing in NIST AI 600-1."
Change Control and Configuration Management,Detection of Baseline Deviation,CCC-07,"Implement detection measures with proactive notification in case
of changes deviating from the established baseline.","OPS-23 Additional Criteria
DEV-07
DEV-08",No Gap,,No Mapping,Full Gap,"The EU AI Act does not cover the CCC-07 topic, ""Implement detection measures with proactive notification in case of changes deviating from the established baseline,"" for any of the AI structures defined within the EU AI Act.","42001: Clause 9.1 - monitoring
including deviating changes from baseline
42001: Clause 7.4 - for notification of deviated changes
42001: A.6.2.6 AI system operation and monitoring
42001: B.7.1.1 - Monitoring and review of AI system behavior
27001: A.8.32 Change management
27001: A.8.9 Establish & maintain baseline configuration",Partial Gap,"Require: Establishing an explicit baseline, Monitoring against the baseline, Proactive notification when deviations occur, Periodic validation of these mechanisms.","MS-5.1-005
MS-2.7-007
MG-4.1-006
MG-4.1-002
MS-2.6-005
MS-2.7-009
GV-6.2-004
GV-1.5-002
MS-1.1-002
MS-1.3-002",Partial Gap,"The NIST AI 600-1 is not clear that ""detection measures with proactive notification must be in place"" is the actual requirement."
Change Control and Configuration Management,Exception Management,CCC-08,"Implement a procedure for the management of exceptions, including
emergencies, in the change and configuration process. Align the procedure with
the requirements of GRC-04: Policy Exception Process.","DEV-03
SIM-01
DEV-08
SP-03",No Gap,,No Mapping,Full Gap,"The EU AI Act does not cover the CCC-08 topic, ""Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process,"" for any of the AI structures defined within the EU AI Act.
","42001: Clause 6.3 Planning of changes
42001: Clause 8.1 Operational planning and control
42001: Clause 10.2 Nonconformity and corrective action",No Gap,,"GV-1.3-007
GV-6.2-003
GV-2.3-001
MG-2.4-002
MG-4.3-001
GV-1.5-002
GV-2.1-002
GV-6.2-006",Partial Gap,"NIST AI 600-1 does not cover ""emergency change management process requirements."""
Change Control and Configuration Management,Change Restoration,CCC-09,"Define and implement a process to proactively roll back changes to
a previous known good state in case of errors or security concerns.",DEV-08,No Gap,,No Mapping,Full Gap,"The EU AI Act does not cover the CCC-09 topic, ""Define and implement a process to proactively roll back changes to a previous known good state in case of errors or security concerns,"" for any of the AI structures defined within the EU AI Act.","42001: Clause 6.3 Planning of changes
42001: Clause 8.1 Operational planning and control
42001: Clause 10.2 Nonconformity and corrective action",No Gap,,GV-6.2-006,No Gap,
"Cryptography, Encryption & Key Management - CEK",,,,,,,,,,,,,,,
"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Cryptography, Encryption and Key Management. 
Review and update the policies and procedures at least annually or upon significant changes.","CRY-01
CRY-04",No Gap,,Article 17,Partial Gap,"Policies and procedures specific to cryptography, encryption and key management.

Frequency of review and update of policies and procedures.
","No Mapping for ISO 42001
27001: Annex A Control A.8.24
27001: A.8.24",Partial Gap,"ISO/IEC 42001:2023 should introduce a new control for cryptography, encryption, and key management in AI systems, mandating policy lifecycle (establish, document, approve, communicate, apply, evaluate, maintain) and annual reviews, aligning with ISO 27001 & ISO 27002",No Mapping,Full Gap,"No (implicit/explicit) reference to cryptography, encryption, or key management is made in the NIST AI 600-1 standard, let alone to the definition and implementation of policies and procedures in such domain."
"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management
roles and responsibilities.","CRY-04
CRY-04",No Gap,,Article 17,Partial Gap,"Cryptographic, encryption, and key management roles and responsibilities.","No Mapping for ISO 42001
ISO 27002: 5.2
8.24",Partial Gap,"ISO/IEC 42001:2023 should introduce a control to define and implement roles and responsibilities for cryptography, encryption, and key management in AI systems, specifying duties for policy oversight, key lifecycle management, and incident response. Ensure accountability through documented assignments and annual reviews, enhancing security in AI contexts while aligning with  ISO 27002 (5.2, 8.24). This addresses the gap in AI-specific cryptographic governance.",No Mapping,Full Gap,"No (implicit/explicit) reference to cryptography, encryption, or key management is made in the NIST AI 600-1 standard, let alone to the definition and implementation of roles and responsibilities in such domain."
